RNA_id,F1_all_bps,PR_all_bps,SN_all_bps,Neff,Neff_by_L,Seq_Length
1ddy_A,0,0,0,1.23333,0.035238,35
1dk1_B,0,0,0,1,0.017543859649122806,57
1ykq_B,0,0,0,0,0.0,38
2oiu_P,0.11764705882352941,0.13043478260869565,0.10714285714285714,1,0.014084507042253521,71
2qwy_A,0.17391304347826086,0.23529411764705882,0.13793103448275862,5.1611,0.09925192307692308,52
2zy6_A,0.08,0.07692307692307693,0.08333333333333333,2,0.05128205128205128,39
3iab_R,0,0,0,0,0.0,46
3nmu_D,0,0,0,0,0.0,34
3npn_A,0,0,0,0,0.0,54
4frn_A,0.16,0.17647058823529413,0.14634146341463414,6.26774,0.06144843137254902,102
5bjp_E,0.32,0.3333333333333333,0.3076923076923077,2.39134,0.06642611111111112,36
5de5_A,0.13333333333333333,0.18181818181818182,0.10526315789473684,2.36667,0.06761914285714286,35
5ob3_A,0.3859649122807018,0.4782608695652174,0.3235294117647059,6.46429,0.09368536231884059,69
5vof_A,0.23076923076923075,0.25,0.21428571428571427,3.1367599999999998,0.08713222222222222,36
5wti_B,0,0,0,1,0.008130081300813009,123
5xuz_B,0,0,0,1,0.025,40
6d12_C,0,0,0,0,0.0,38
6e8u_B,0,0,0,0,0.0,37
6iv8_D,0.3846153846153846,0.29411764705882354,0.5555555555555556,3.7122300000000004,0.07004207547169812,53
5wlh_B,0.42857142857142855,0.375,0.5,12.5764,0.2328962962962963,54
6wpi_B,0,0,0,0,0.0,47
