RNA_id,F1_all_bps,PR_all_bps,SN_all_bps,Neff,Neff_by_L,Seq_Length
1wz2_C,0.15384615384615385,0.1724137931034483,0.1388888888888889,3.01638,0.034277045454545456,88
1y26_X,0,0,0,1.08831,0.015328309859154931,71
1y27_X,0.07142857142857142,0.09090909090909091,0.058823529411764705,1,0.014705882352941176,68
1zjw_B,0.14285714285714285,0.16,0.12903225806451613,4.35467,0.05806226666666666,75
2bte_B,0.14285714285714285,0.19047619047619047,0.11428571428571428,2.49722,0.03008698795180723,83
2dxi_C,0.20338983050847456,0.24,0.17647058823529413,3.01818,0.040242400000000005,75
2r8s_R,0.04958677685950414,0.05660377358490566,0.04411764705882353,1,0.006289308176100629,159
2ygh_A,0,0,0,1,0.010526315789473684,95
3a3a_A,0.0625,0.07142857142857142,0.05555555555555555,5.3828,0.059808888888888884,90
3cc2_9,0.125,0.15,0.10714285714285714,1.14567,0.009390737704918033,122
3cw5_A,0.17857142857142855,0.2,0.16129032258064516,4.52144,0.05872,77
3g8t_P,0.0404040404040404,0.0425531914893617,0.038461538461538464,2,0.014184397163120567,141
3iwn_A,0.05714285714285715,0.06451612903225806,0.05128205128205128,2,0.021505376344086023,93
3k0j_E,0.061538461538461535,0.06896551724137931,0.05555555555555555,2.9128,0.03348045977011494,87
3sd3_A,0,0,0,1,0.011235955056179775,89
3wqy_C,0.2758620689655172,0.32,0.24242424242424243,3.93325,0.052443333333333335,75
3zgz_B,0.19672131147540986,0.23076923076923078,0.17142857142857143,6.13705,0.06973920454545456,88
4meh_B,0,0,0,1,0.007936507936507936,126
4tna_A,0.08,0.09523809523809523,0.06896551724137931,3.9300800000000002,0.05171157894736842,76
4v8n_AV,0,0,0,1,0.01282051282051282,78
4v90_AV,0.10714285714285714,0.12,0.0967741935483871,4.5647199999999994,0.06006210526315789,76
4wfl_A,0.09523809523809522,0.11428571428571428,0.08163265306122448,2.76956,0.025883738317757008,107
4x0b_B,0.17857142857142855,0.2,0.16129032258064516,1.17024,0.015197922077922078,77
4ybb_CB,0.08695652173913043,0.10526315789473684,0.07407407407407407,6.49373,0.05411441666666667,120
4yvi_C,0.03508771929824561,0.041666666666666664,0.030303030303030304,1,0.013513513513513514,74
4yzv_RB,0.163265306122449,0.1951219512195122,0.14035087719298245,5.42192,0.043725161290322584,124
5el5_1K,0.08695652173913043,0.08333333333333333,0.09090909090909091,5.40594,0.07113078947368422,76
5ibb_1K,0.07407407407407407,0.08333333333333333,0.06666666666666667,3.79112,0.04988315789473684,76
5j01_A,0.07142857142857142,0.08633093525179857,0.06091370558375635,9.1994,0.02200813397129187,418
6cc1_A,0,0,0,0,0.0,101
6gsk_3K,0.07843137254901962,0.08333333333333333,0.07407407407407407,3.48164,0.04581105263157895,76
6n5q_A,0.061855670103092786,0.07142857142857142,0.05454545454545454,1,0.0078125,128
6of6_QW,0.07547169811320756,0.08,0.07142857142857142,2.60711,0.03430407894736842,76
6ufh_B,0.21052631578947367,0.24,0.1875,3.28894,0.0427135064935065,77
1yfg_A,0.17241379310344826,0.2,0.15151515151515152,3.4664,0.04621866666666667,75
5wwr_C,0.11538461538461538,0.13043478260869565,0.10344827586206896,4.99441,0.06659213333333333,75
4kr3_C,0.13559322033898305,0.16666666666666666,0.11428571428571428,4.10367,0.055455000000000004,74
2d6f_E,0.09836065573770492,0.125,0.08108108108108109,1,0.013513513513513514,74
5ud5_C,0.03636363636363637,0.041666666666666664,0.03225806451612903,1,0.013888888888888888,72
3ivn_A,0,0,0,0,0.0,70
6pmo_A,0.0851063829787234,0.09090909090909091,0.08,1,0.015151515151515152,66
2czj_B,0.04761904761904762,0.05263157894736842,0.043478260869565216,1,0.015873015873015872,63
5ztm_C,0.05128205128205128,0.05555555555555555,0.047619047619047616,1,0.01818181818181818,55
4o26_E,0.058823529411764705,0.07692307692307693,0.047619047619047616,1,0.0196078431372549,51
4qln_A,0,0,0,1,0.008,125
4qk9_A,0.06451612903225806,0.07317073170731707,0.057692307692307696,3.9948300000000003,0.032216370967741936,124
1xbp_9,0.09411764705882353,0.0975609756097561,0.09090909090909091,1.2389700000000001,0.009991693548387097,124
6ck5_A,0,0,0,1,0.008547008547008548,117
3w3s_B,0.027027027027027025,0.030303030303030304,0.024390243902439025,1,0.010101010101010102,99
5ml7_A,0.21333333333333332,0.25,0.18604651162790697,1.5514700000000001,0.016161145833333335,96
4wsm_1K,0.13333333333333333,0.13793103448275862,0.12903225806451613,3.80456,0.043730574712643674,87
1h3e_B,0.09090909090909091,0.10714285714285714,0.07894736842105263,3,0.03488372093023256,86
4wzd_2K,0.16129032258064516,0.2,0.13513513513513514,6.33866,0.0745724705882353,85
4rdx_C,0.1568627450980392,0.2222222222222222,0.12121212121212122,1.02681,0.01316423076923077,78
2zue_B,0.09302325581395349,0.18181818181818182,0.0625,2,0.02564102564102564,78
6gsl_3K,0.07272727272727272,0.08,0.06666666666666667,4.56957,0.05934506493506493,77
1j1u_B,0.10169491525423728,0.12,0.08823529411764706,1,0.012987012987012988,77
4yye_C,0.10344827586206896,0.12,0.09090909090909091,4.31473,0.056772763157894736,76
2dlc_Y,0,0,0,1,0.013157894736842105,76
2der_C,0.12,0.15,0.1,3.62565,0.04770592105263158,76
2zzn_C,0,0,0,1,0.013333333333333334,75
3tra_A,0,0,0,3.5861699999999996,0.04781559999999999,75
5aox_C,0,0,0,3.91276,0.04497425287356322,87
3f2w_X,0.12048192771084339,0.14705882352941177,0.10204081632653061,5.12973,0.045801160714285714,112
5o6u_A,0,0,0,1,0.023255813953488372,43
3bo2_B,0.0547945205479452,0.06153846153846154,0.04938271604938271,2,0.01015228426395939,197
1u9s_A,0.10084033613445378,0.13043478260869565,0.0821917808219178,5.084969999999999,0.031583664596273285,161
2nue_C,0,0,0,0,0.0,46
4qjd_B,0,0,0,1.81256,0.03856510638297872,47
4u7u_L,0.07692307692307691,0.05,0.16666666666666666,2.04762,0.033567540983606564,61
3ndb_M,0.018018018018018018,0.022222222222222223,0.015151515151515152,1.0566200000000001,0.007769264705882354,136
4v88_A3,0.02127659574468085,0.025,0.018518518518518517,6.73153,0.05563247933884298,121
4kqy_A,0.06593406593406592,0.07692307692307693,0.057692307692307696,2.0675,0.017373949579831932,119
4wfa_Y,0.06593406593406592,0.07894736842105263,0.05660377358490566,5.43235,0.04765219298245613,114
6dlq_A,0.04705882352941177,0.05714285714285714,0.04,1,0.009345794392523364,107
6dmd_A,0,0,0,1,0.00980392156862745,102
3suh_X,0,0,0,1,0.009900990099009901,101
6ufm_B,0.026315789473684213,0.03125,0.022727272727272728,5.03998,0.05142836734693877,98
5u3g_B,0.09090909090909091,0.10714285714285714,0.07894736842105263,3,0.03529411764705882,85
4yaz_A,0,0,0,2.30571,0.027448928571428572,84
3amt_B,0.14035087719298245,0.15384615384615385,0.12903225806451613,3.5657300000000003,0.04571448717948718,78
1c0a_B,0.03389830508474576,0.04,0.029411764705882353,5.91615,0.07683311688311688,77
3d2v_A,0.06779661016949153,0.08,0.058823529411764705,3.2325,0.04198051948051948,77
5ccb_N,0.03389830508474576,0.04,0.029411764705882353,5.73358,0.07446207792207792,77
4v9k_AW,0.13559322033898305,0.16,0.11764705882352941,4.31555,0.0560461038961039,77
1j2b_C,0.08695652173913043,0.08,0.09523809523809523,2.02778,0.026334805194805192,77
4wj4_B,0.14035087719298245,0.16,0.125,4.95316,0.06517315789473684,76
1qf6_B,0.17543859649122806,0.2,0.15625,4.65989,0.06131434210526315,76
4lck_B,0.0689655172413793,0.08,0.06060606060606061,3.19353,0.0425804,75
1gax_C,0.07017543859649122,0.08,0.0625,2.34551,0.031273466666666666,75
2csx_C,0.10714285714285714,0.12,0.0967741935483871,1,0.013333333333333334,75
4v9i_AY,0.0425531914893617,0.04,0.045454545454545456,3.34871,0.044649466666666665,75
2dr2_B,0.07692307692307691,0.08,0.07407407407407407,4.91065,0.06547533333333334,75
1u0b_A,0.07017543859649122,0.08333333333333333,0.06060606060606061,3.49833,0.04727472972972973,74
4znp_A,0,0,0,0,0.0,73
1kxk_A,0.12,0.13043478260869565,0.1111111111111111,1.00833,0.014404714285714285,70
3eph_E,0.10909090909090909,0.13043478260869565,0.09375,1.61198,0.023362028985507245,69
6p2h_A,0,0,0,0,0.0,69
3diq_A,0.0425531914893617,0.05172413793103448,0.03614457831325301,1,0.005747126436781609,174
3oww_A,0.12307692307692307,0.13793103448275862,0.1111111111111111,3.04061,0.03455238636363636,88
3pdr_A,0.04511278195488722,0.05660377358490566,0.0375,3.02612,0.018795776397515528,161
4lck_C,0.024999999999999998,0.029411764705882353,0.021739130434782608,1,0.00980392156862745,102
4mgn_A,0,0,0,2,0.023255813953488372,86
4v88_A4,0,0,0,2.94917,0.018665632911392404,158
6n2v_A,0,0,0,1,0.010101010101010102,99
6vmy_A,0,0,0,2,0.013513513513513514,148
3kfu_K,0.23076923076923078,0.3333333333333333,0.17647058823529413,1,0.013157894736842105,76
4gxy_A,0.015151515151515152,0.017543859649122806,0.013333333333333334,1.53611,0.008930872093023257,172
4oji_A,0.05,0.06666666666666667,0.04,1.0941100000000001,0.020261296296296298,54
6jxm_B,0.05479452054794521,0.0625,0.04878048780487805,2.02363,0.020862164948453606,97
