RNA_id,F1_all_bps,PR_all_bps,SN_all_bps,Neff,Neff_by_L,Seq_Length
1s03_A,0,0,0,0,0.0,47
4q9q_R,0,0,0,0,0.0,84
4r4v_A,0,0,0,0,0.0,186
4rzd_A,0,0,0,0,0.0,101
4ts0_X,0,0,0,0,0.0,44
5ng6_B,0,0,0,0,0.0,43
5y85_B,0,0,0,0,0.0,50
6d3p_A,0,0,0,0,0.0,45
6g7z_B,0,0,0,0,0.0,54
1zho_B,0,0,0,0,0.0,38
2zh2_B,0,0,0,0,0.0,34
3hhn_C,0,0,0,0,0.0,137
3zd4_A,0,0,0,1.23001,0.028604883720930233,43
4k27_U,0,0,0,0,0.0,55
4m4o_B,0,0,0,0,0.0,59
4x4r_B,0,0,0,0,0.0,37
5ddo_A,0,0,0,0,0.0,61
5dh6_A,0,0,0,1,0.020833333333333332,48
6c64_A,0,0,0,0,0.0,36
6las_A,0,0,0,0,0.0,55
6mj0_A,0,0,0,1,0.009615384615384616,104
6ufj_A,0,0,0,0,0.0,51
6m0w_B,0,0,0,1,0.013888888888888888,72
2xdb_G,0,0,0,1,0.025,40
4x4v_B,0,0,0,0,0.0,37
6dvk_H,0,0,0,0,0.0,95
5b2o_B,0,0,0,1,0.010638297872340425,94
3fu2_A,0,0,0,1,0.029411764705882353,34
5dcv_B,0,0,0,0,0.0,51
5xwp_C,0.08,0.05263157894736842,0.16666666666666666,1,0.01694915254237288,59
5u30_B,0,0,0,0,0.0,112
6sy6_D,0,0,0,0,0.0,39
2ozb_C,0,0,0,1.02267,0.03099,33
3p22_A,0,0,0,0,0.0,40
4ato_G,0,0,0,0,0.0,34
4ena_A,0.05714285714285714,0.058823529411764705,0.05555555555555555,1,0.019230769230769232,52
4pdb_I,0,0,0,0,0.0,38
4rge_A,0,0,0,0,0.0,56
4v83_AV,0,0,0,1,0.02857142857142857,35
6cf2_G,0,0,0,0,0.0,35
3lwo_D,0,0,0,0,0.0,58
3r9x_C,0.08695652173913043,0.09090909090909091,0.08333333333333333,1.13501,0.03242885714285715,35
5mga_B,0,0,0,1,0.025,40
5o69_A,0.05128205128205129,0.07692307692307693,0.038461538461538464,1,0.024390243902439025,41
6dtd_C,0,0,0,0,0.0,37
6r47_A,0,0,0,0,0.0,50
3nkb_B,0,0,0,0,0.0,64
6dcb_B,0,0,0,0,0.0,36
6qn3_A,0,0,0,1,0.02,50
6tfe_A,0,0,0,1,0.019230769230769232,52
6g7z_A,0,0,0,1,0.007575757575757576,132
4l81_A,0,0,0,0,0.0,96
1m5p_B,0,0,0,0,0.0,92
3cun_C,0,0,0,0,0.0,92
3am1_B,0.03333333333333333,0.037037037037037035,0.030303030303030304,1,0.012345679012345678,81
5kpy_A,0,0,0,0,0.0,71
5tpy_A,0.038461538461538464,0.043478260869565216,0.034482758620689655,2,0.028169014084507043,71
4pqv_A,0,0,0,1,0.014705882352941176,68
3egz_B,0,0,0,0,0.0,65
1un6_E,0,0,0,0,0.0,61
4pkd_V,0.05555555555555555,0.05555555555555555,0.05555555555555555,1,0.01818181818181818,55
1u63_B,0.05405405405405405,0.0625,0.047619047619047616,1,0.02040816326530612,49
5m0h_A,0,0,0,0,0.0,42
1f1t_A,0,0,0,1,0.02631578947368421,38
1i6u_C,0,0,0,0,0.0,37
3gs5_C,0,0,0,0,0.0,36
4pcj_A,0,0,0,0,0.0,35
6ol3_C,0,0,0,2.52541,0.02254830357142857,112
3r4f_A,0,0,0,1,0.015151515151515152,66
4c7o_E,0,0,0,0,0.0,48
4oog_D,0,0,0,0,0.0,34
4pmi_A,0,0,0,0,0.0,40
4rmo_B,0,0,0,1,0.022222222222222223,45
5lyu_A,0,0,0,0,0.0,58
6db9_R,0,0,0,0,0.0,60
6jq5_A,0,0,0,1,0.012195121951219513,82
6u8k_A,0,0,0,0,0.0,68
7jju_A,0,0,0,0,0.0,51
1g1x_D,0,0,0,1,0.024390243902439025,41
1hmh_A,0,0,0,0,0.0,34
1kog_I,0.07142857142857144,0.08333333333333333,0.0625,1,0.02702702702702703,37
4prf_B,0,0,0,2,0.02631578947368421,76
5axw_B,0,0,0,1,0.0136986301369863,73
