RNA_id,F1_all_bps,PR_all_bps,SN_all_bps,Neff,Neff_by_L,Seq_Length
1wz2_C,0.7076923076923076,0.7931034482758621,0.6388888888888888,123.11399999999999,1.3990227272727271,88
1y26_X,0.6666666666666666,0.8695652173913043,0.5405405405405406,219.75099999999998,3.095084507042253,71
1y27_X,0.6785714285714287,0.8636363636363636,0.5588235294117647,181.21200000000002,2.6648823529411767,68
1zjw_B,0.7999999999999999,0.9166666666666666,0.7096774193548387,2482.58,33.10106666666667,75
2bte_B,0.819672131147541,0.9615384615384616,0.7142857142857143,1131.85,13.636746987951806,83
2dxi_C,0.7796610169491526,0.92,0.6764705882352942,2538.33,33.8444,75
2r8s_R,0.6446280991735537,0.7358490566037735,0.5735294117647058,561.183,3.529452830188679,159
2ygh_A,0.7887323943661972,0.9032258064516129,0.7,205.34400000000002,2.1615157894736843,95
3a3a_A,0.8307692307692308,0.9310344827586207,0.75,174.899,1.9433222222222222,90
3cc2_9,0.43750000000000006,0.525,0.375,282.118,2.3124426229508197,122
3cw5_A,0.75,0.84,0.6774193548387096,1537.03,19.96142857142857,77
3g8t_P,0.6666666666666666,0.7021276595744681,0.6346153846153846,203.058,1.440127659574468,141
3iwn_A,0.6285714285714286,0.7096774193548387,0.5641025641025641,282.85200000000003,3.04141935483871,93
3k0j_E,0.43076923076923074,0.4827586206896552,0.3888888888888889,357.73699999999997,4.111919540229884,87
3sd3_A,0.5428571428571429,0.6551724137931034,0.4634146341463415,44.424,0.4991460674157303,89
3wqy_C,0.6551724137931034,0.76,0.5757575757575758,480.81300000000005,6.41084,75
3zgz_B,0.8387096774193549,0.9629629629629629,0.7428571428571429,2097.36,23.833636363636366,88
4meh_B,0.6493506493506493,0.7142857142857143,0.5952380952380952,81.6919,0.6483484126984127,126
4tna_A,0.830188679245283,0.9166666666666666,0.7586206896551724,750.821,9.879223684210526,76
4v8n_AV,0.6071428571428571,0.6538461538461539,0.5666666666666667,828.625,10.623397435897436,78
4v90_AV,0.7857142857142856,0.88,0.7096774193548387,855.028,11.250368421052633,76
4wfl_A,0.3333333333333333,0.4,0.2857142857142857,47.6395,0.4452289719626168,107
4x0b_B,0.75,0.84,0.6774193548387096,998.831,12.97183116883117,77
4ybb_CB,0.6021505376344085,0.717948717948718,0.5185185185185185,121.99,1.0165833333333334,120
4yvi_C,0.8070175438596493,0.9583333333333334,0.696969696969697,406.88699999999994,5.498472972972972,74
4yzv_RB,0,0,0,0,0.0,124
