RNA_id,F1_all_bps,PR_all_bps,SN_all_bps,Neff,Neff_by_L,Seq_Length
1ddy_A,0,0,0,1.23333,0.035238,35
1dk1_B,0,0,0,1,0.017543859649122806,57
1ykq_B,0,0,0,0,0.0,38
2oiu_P,0.1568627450980392,0.17391304347826086,0.14285714285714285,1.59614,0.022480845070422535,71
2qwy_A,0.5217391304347826,0.7058823529411765,0.41379310344827586,60.0457,1.154725,52
2zy6_A,0.08,0.07692307692307693,0.08333333333333333,2,0.05128205128205128,39
3iab_R,0,0,0,0,0.0,46
3nmu_D,0,0,0,0,0.0,34
3npn_A,0,0,0,0,0.0,54
4frn_A,0.32,0.35294117647058826,0.2926829268292683,13.3529,0.1309107843137255,102
5bjp_E,0.32,0.3333333333333333,0.3076923076923077,1.39134,0.03864833333333333,36
5de5_A,0.13333333333333333,0.18181818181818182,0.10526315789473684,2.73654,0.07818685714285716,35
5ob3_A,0.3859649122807018,0.4782608695652174,0.3235294117647059,12.1659,0.17631739130434784,69
5vof_A,0.23076923076923075,0.25,0.21428571428571427,3.20845,0.08912361111111111,36
5wti_B,0,0,0,3,0.024390243902439025,123
5xuz_B,0,0,0,1,0.025,40
6d12_C,0,0,0,0,0.0,38
6e8u_B,0,0,0,0,0.0,37
6iv8_D,0.23076923076923078,0.17647058823529413,0.3333333333333333,9.23365,0.17421981132075473,53
5wlh_B,0.42105263157894735,0.3076923076923077,0.6666666666666666,19.5492,0.3620222222222222,54
6wpi_B,0,0,0,0,0.0,47
