RNA_id,F1_all_bps,PR_all_bps,SN_all_bps,Neff,Neff_by_L,Seq_Length
1ddy_A,0,0,0,1.23333,0.035238,35
1dk1_B,0,0,0,1,0.017543859649122806,57
1ykq_B,0,0,0,0,0.0,38
2oiu_P,0.2380952380952381,0.35714285714285715,0.17857142857142858,1.59614,0.022480845070422535,71
2qwy_A,0.5128205128205129,1.0,0.3448275862068966,60.0457,1.154725,52
2zy6_A,0,0,0,2,0.05128205128205128,39
3iab_R,0,0,0,0,0.0,46
3nmu_D,0,0,0,0,0.0,34
3npn_A,0,0,0,0,0.0,54
4frn_A,0.42622950819672134,0.65,0.3170731707317073,13.3529,0.1309107843137255,102
5bjp_E,0.3,0.42857142857142855,0.23076923076923078,1.39134,0.03864833333333333,36
5de5_A,0.15384615384615385,0.2857142857142857,0.10526315789473684,2.73654,0.07818685714285716,35
5ob3_A,0.5106382978723405,0.9230769230769231,0.35294117647058826,12.1659,0.17631739130434784,69
5vof_A,0.2857142857142857,0.42857142857142855,0.21428571428571427,3.20845,0.08912361111111111,36
5wti_B,0,0,0,3,0.024390243902439025,123
5xuz_B,0,0,0,1,0.025,40
6d12_C,0,0,0,0,0.0,38
6e8u_B,0,0,0,0,0.0,37
6iv8_D,0.3157894736842105,0.3,0.3333333333333333,9.23365,0.17421981132075473,53
5wlh_B,0.5714285714285715,0.5,0.6666666666666666,19.5492,0.3620222222222222,54
6wpi_B,0,0,0,0,0.0,47
1s03_A,0.35714285714285715,0.5555555555555556,0.2631578947368421,4.07469,0.08669553191489363,47
4q9q_R,0.5185185185185185,0.875,0.3684210526315789,15.2563,0.18162261904761903,84
4r4v_A,0.06956521739130435,0.10810810810810811,0.05128205128205128,3,0.016129032258064516,186
4rzd_A,0.35714285714285715,0.5,0.2777777777777778,14.0763,0.13936930693069308,101
4ts0_X,0,0,0,6.66407,0.15145613636363636,44
5ng6_B,0,0,0,2,0.046511627906976744,43
5y85_B,0.3333333333333333,0.4,0.2857142857142857,3.11743,0.062348600000000004,50
6d3p_A,0.09090909090909093,0.1111111111111111,0.07692307692307693,3,0.06666666666666667,45
6g7z_B,0.0909090909090909,0.1,0.08333333333333333,1,0.018518518518518517,54
1zho_B,0.6086956521739131,1.0,0.4375,7.90683,0.20807447368421053,38
2zh2_B,0.5263157894736842,0.8333333333333334,0.38461538461538464,11.3333,0.33333235294117647,34
3hhn_C,0.6419753086419752,0.9629629629629629,0.48148148148148145,1511.49,11.032773722627738,137
3zd4_A,0.35294117647058826,0.375,0.3333333333333333,18.2164,0.42363720930232557,43
4k27_U,0.6285714285714286,1.0,0.4583333333333333,90.14399999999999,1.638981818181818,55
4m4o_B,0.4864864864864865,0.8181818181818182,0.34615384615384615,17.1583,0.2908186440677966,59
