RNA_id,F1_all_bps,PR_all_bps,SN_all_bps,Neff,Neff_by_L,Seq_Length
2du4_C,0.6666666666666667,0.782608695652174,0.5806451612903226,32.1614,0.4529774647887324,71
2pxb_B,0.6486486486486486,0.75,0.5714285714285714,21.8442,0.44580000000000003,49
4n0t_B,0.05128205128205128,0.05263157894736842,0.05,6.19607,0.08605652777777778,72
4uyk_R,0.27522935779816515,0.3409090909090909,0.23076923076923078,13.7907,0.10291567164179104,134
5f9r_A,0,0,0,16.3601,0.13864491525423728,118
6svs_A,0.3333333333333333,0.4,0.2857142857142857,21.0203,0.27299090909090906,77
6fz0_A,0.21621621621621623,0.3333333333333333,0.16,1,0.018867924528301886,53
5t83_A,0.13559322033898302,0.23529411764705882,0.09523809523809523,23.9336,0.25193263157894735,95
6cu1_A,0.06349206349206349,0.07407407407407407,0.05555555555555555,5.09167,0.06286012345679012,81
4v2s_Q,0.36842105263157887,0.35,0.3888888888888889,8.80919,0.13552599999999998,65
6jdv_B,0.32653061224489793,0.3404255319148936,0.3137254901960784,30.9595,0.21060884353741496,147
4rum_A,0.3636363636363636,0.4,0.3333333333333333,27.2952,0.2903744680851064,94
2il9_A,0.3294117647058823,0.3333333333333333,0.32558139534883723,17,0.11971830985915492,142
3rw6_F,0.5957446808510639,0.7,0.5185185185185185,25.7948,0.41604516129032254,62
3q50_A,0.21428571428571427,0.2727272727272727,0.17647058823529413,1.61667,0.04899,33
3ktw_C,0.4871794871794871,0.59375,0.41304347826086957,15.6615,0.163140625,96
5x2h_B,0.40625,0.41935483870967744,0.3939393939393939,29.3566,0.3156623655913979,93
3adb_C,0.7761194029850748,0.8666666666666667,0.7027027027027027,43.5885,0.4737880434782609,92
2zni_C,0.7058823529411765,0.75,0.6666666666666666,63.4496,0.8812444444444444,72
4xwf_A,0.22222222222222224,0.23809523809523808,0.20833333333333334,15.6421,0.2444078125,64
1mzp_B,0.5,0.6111111111111112,0.4230769230769231,17.1273,0.3114054545454546,55
1g1x_E,0,0,0,1.0525,0.023920454545454547,44
3ovb_C,0.32,0.36363636363636365,0.2857142857142857,6.27389,0.179254,35
1xjr_A,0.5882352941176471,0.6666666666666666,0.5263157894736842,12.8034,0.2724127659574468,47
2qus_A,0.41509433962264153,0.4782608695652174,0.36666666666666664,16.5507,0.23986521739130434,69
3q3z_A,0.5084745762711865,0.6,0.4411764705882353,20.7429,0.276572,75
3slm_A,0.5098039215686274,0.5909090909090909,0.4482758620689655,20.7212,0.3047235294117647,68
4jf2_A,0.3508771929824561,0.4,0.3125,8.30833,0.10790038961038961,77
6mwn_A,0.26865671641791045,0.3,0.24324324324324326,9.54583,0.10375902173913044,92
4qyz_L,0,0,0,27.4805,0.4505,61
6aay_B,0,0,0,36.225,0.6139830508474576,59
