RNA_id,F1_all_bps,PR_all_bps,SN_all_bps,Neff,Neff_by_L,Seq_Length
2du4_C,0.7037037037037037,0.8260869565217391,0.6129032258064516,65.875,0.9278169014084507,71
2pxb_B,0.8108108108108109,0.9375,0.7142857142857143,123.193,2.5141428571428572,49
4n0t_B,0.380952380952381,0.36363636363636365,0.4,261.597,3.6332916666666666,72
4uyk_R,0.5504587155963303,0.6818181818181818,0.46153846153846156,236.019,1.7613358208955223,134
5f9r_A,0.47887323943661975,0.4358974358974359,0.53125,46.8407,0.3969550847457627,118
6svs_A,0.5333333333333333,0.64,0.45714285714285713,154.4,2.0051948051948054,77
6fz0_A,0.42857142857142855,0.5294117647058824,0.36,20.784000000000002,0.39215094339622647,53
5t83_A,0.17647058823529413,0.23076923076923078,0.14285714285714285,289.28700000000003,3.045126315789474,95
6cu1_A,0.42622950819672134,0.52,0.3611111111111111,385.284,4.756592592592592,81
4v2s_Q,0.5294117647058824,0.5625,0.5,129.847,1.997646153846154,65
6jdv_B,0.5360824742268041,0.5652173913043478,0.5098039215686274,152.734,1.0390068027210886,147
4rum_A,0.746268656716418,0.8064516129032258,0.6944444444444444,190.763,2.0293936170212765,94
2il9_A,0.5647058823529412,0.5714285714285714,0.5581395348837209,85.6524,0.6031859154929577,142
3rw6_F,0.7659574468085106,0.9,0.6666666666666666,197.363,3.183274193548387,62
3q50_A,0.2857142857142857,0.36363636363636365,0.23529411764705882,3.09405,0.09375909090909092,33
3ktw_C,0.6153846153846153,0.75,0.5217391304347826,68.8205,0.7168802083333333,96
5x2h_B,0.5625,0.5806451612903226,0.5454545454545454,129.094,1.3881075268817205,93
3adb_C,0.8656716417910447,0.9666666666666667,0.7837837837837838,73.5556,0.7995173913043478,92
2zni_C,0.7058823529411765,0.75,0.6666666666666666,96.0964,1.3346722222222223,72
4xwf_A,0.4444444444444445,0.47619047619047616,0.4166666666666667,239.68,3.745,64
1mzp_B,0.4545454545454546,0.5555555555555556,0.38461538461538464,64.7497,1.1772672727272728,55
1g1x_E,0.11764705882352941,0.07142857142857142,0.3333333333333333,3.76917,0.08566295454545454,44
3ovb_C,0.7200000000000001,0.8181818181818182,0.6428571428571429,61.2399,1.7497114285714286,35
1xjr_A,0.5294117647058824,0.6,0.47368421052631576,20.3201,0.43234255319148934,47
2qus_A,0.5660377358490566,0.6521739130434783,0.5,153.602,2.2261159420289856,69
3q3z_A,0.8474576271186441,1.0,0.7352941176470589,340.36400000000003,4.538186666666667,75
3slm_A,0.823529411764706,0.9545454545454546,0.7241379310344828,82.9789,1.2202779411764706,68
4jf2_A,0.5614035087719298,0.64,0.5,16.6771,0.21658571428571427,77
6mwn_A,0.7164179104477612,0.8,0.6486486486486487,275.14599999999996,2.990717391304347,92
4qyz_L,0,0,0,13.4554,0.22058032786885245,61
6aay_B,0,0,0,242.017,4.1019830508474575,59
