RNA_id,F1_all_bps,PR_all_bps,SN_all_bps,Neff,Neff_by_L,Seq_Length
1s03_A,0.11764705882352941,0.13333333333333333,0.10526315789473684,1,0.02127659574468085,47
4q9q_R,0.2121212121212121,0.25,0.18421052631578946,13.257,0.15782142857142856,84
4r4v_A,0.014285714285714287,0.016129032258064516,0.01282051282051282,2,0.010752688172043012,186
4rzd_A,0.29411764705882354,0.3125,0.2777777777777778,9.28538,0.09193445544554456,101
4ts0_X,0,0,0,2.0164,0.04582727272727272,44
5ng6_B,0.18181818181818182,0.14285714285714285,0.25,2,0.046511627906976744,43
5y85_B,0.39999999999999997,0.375,0.42857142857142855,2.83886,0.0567772,50
6d3p_A,0.07142857142857144,0.06666666666666667,0.07692307692307693,1,0.022222222222222223,45
6g7z_B,0,0,0,1,0.018518518518518517,54
1zho_B,0.35714285714285715,0.4166666666666667,0.3125,7,0.18421052631578946,38
2zh2_B,0.08333333333333334,0.09090909090909091,0.07692307692307693,2,0.058823529411764705,34
3hhn_C,0.1414141414141414,0.15555555555555556,0.12962962962962962,7.33333,0.05352795620437956,137
3zd4_A,0.2608695652173913,0.21428571428571427,0.3333333333333333,4.93843,0.11484720930232559,43
4k27_U,0.380952380952381,0.4444444444444444,0.3333333333333333,6.83333,0.12424236363636364,55
4m4o_B,0.13333333333333333,0.15789473684210525,0.11538461538461539,6.58333,0.11158186440677967,59
4x4r_B,0.08,0.08333333333333333,0.07692307692307693,2,0.05405405405405406,37
5ddo_A,0.13953488372093023,0.15,0.13043478260869565,5.33333,0.08743163934426229,61
5dh6_A,0.38461538461538464,0.3125,0.5,18.1016,0.3771166666666667,48
6c64_A,0.36363636363636365,0.5,0.2857142857142857,18.9909,0.527525,36
6las_A,0.10256410256410256,0.1111111111111111,0.09523809523809523,1.0181799999999999,0.018512363636363632,55
6mj0_A,0.08333333333333333,0.1,0.07142857142857142,5.69148,0.05472576923076923,104
6ufj_A,0.11764705882352941,0.14285714285714285,0.1,3.25952,0.0639121568627451,51
6m0w_B,0,0,0,18.0886,0.25123055555555557,72
2xdb_G,0,0,0,6.51992,0.162998,40
4x4v_B,0.1,0.125,0.08333333333333333,2,0.05405405405405406,37
6dvk_H,0.08333333333333333,0.0967741935483871,0.07317073170731707,2,0.021052631578947368,95
5b2o_B,0,0,0,2,0.02127659574468085,94
3fu2_A,0,0,0,1.68956,0.049692941176470586,34
5dcv_B,0.11428571428571428,0.11764705882352941,0.1111111111111111,2,0.0392156862745098,51
5xwp_C,0.16,0.10526315789473684,0.3333333333333333,9.50116,0.16103661016949153,59
5u30_B,0.16393442622950818,0.16129032258064516,0.16666666666666666,11.7515,0.10492410714285715,112
6sy6_D,0,0,0,5,0.1282051282051282,39
2ozb_C,0.6086956521739131,0.6363636363636364,0.5833333333333334,7.678710000000001,0.23268818181818185,33
3p22_A,0.08,0.07692307692307693,0.08333333333333333,2,0.05,40
4ato_G,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.91667,0.056372647058823534,34
4ena_A,0.34285714285714286,0.35294117647058826,0.3333333333333333,10.5274,0.20245,52
4pdb_I,0.13333333333333333,0.16666666666666666,0.1111111111111111,3,0.07894736842105263,38
4rge_A,0,0,0,2,0.03571428571428571,56
4v83_AV,0.07407407407407407,0.09090909090909091,0.0625,2.41667,0.06904771428571428,35
6cf2_G,0.32,0.36363636363636365,0.2857142857142857,2.41667,0.06904771428571428,35
3lwo_D,0.41025641025641024,0.42105263157894735,0.4,6.05791,0.10444672413793103,58
