RNA_id,F1_all_bps,PR_all_bps,SN_all_bps,Neff,Neff_by_L,Seq_Length
1s03_A,0.23529411764705882,0.26666666666666666,0.21052631578947367,4.07469,0.08669553191489363,47
4q9q_R,0.2121212121212121,0.25,0.18421052631578946,15.2563,0.18162261904761903,84
4r4v_A,0.08571428571428572,0.0967741935483871,0.07692307692307693,3,0.016129032258064516,186
4rzd_A,0.3283582089552239,0.3548387096774194,0.3055555555555556,14.0763,0.13936930693069308,101
4ts0_X,0,0,0,6.66407,0.15145613636363636,44
5ng6_B,0.18181818181818182,0.14285714285714285,0.25,2,0.046511627906976744,43
5y85_B,0.4666666666666667,0.4375,0.5,3.11743,0.062348600000000004,50
6d3p_A,0.21428571428571427,0.2,0.23076923076923078,3,0.06666666666666667,45
6g7z_B,0,0,0,1,0.018518518518518517,54
1zho_B,0.5,0.5833333333333334,0.4375,7.90683,0.20807447368421053,38
2zh2_B,0.41666666666666663,0.45454545454545453,0.38461538461538464,11.3333,0.33333235294117647,34
3hhn_C,0.6464646464646464,0.7111111111111111,0.5925925925925926,1511.49,11.032773722627738,137
3zd4_A,0.2608695652173913,0.21428571428571427,0.3333333333333333,18.2164,0.42363720930232557,43
4k27_U,0.7142857142857143,0.8333333333333334,0.625,90.14399999999999,1.638981818181818,55
4m4o_B,0.4888888888888889,0.5789473684210527,0.4230769230769231,17.1583,0.2908186440677966,59
4x4r_B,0.7500000000000001,0.8181818181818182,0.6923076923076923,33.7873,0.9131702702702703,37
5ddo_A,0.65,0.7647058823529411,0.5652173913043478,55.066,0.9027213114754099,61
5dh6_A,0.38461538461538464,0.3125,0.5,20.5184,0.42746666666666666,48
6c64_A,0.36363636363636365,0.5,0.2857142857142857,258.992,7.194222222222223,36
6las_A,0.30769230769230765,0.3333333333333333,0.2857142857142857,12.5091,0.22743818181818182,55
6mj0_A,0.2222222222222222,0.26666666666666666,0.19047619047619047,37.738,0.3628653846153846,104
6ufj_A,0.4444444444444445,0.5,0.4,54.6753,1.072064705882353,51
