RNA_id,F1_all_bps,PR_all_bps,SN_all_bps,Neff,Neff_by_L,Seq_Length
1ddy_A,0,0,0,0,0.0,35
1dk1_B,0,0,0,0,0.0,57
1ykq_B,0,0,0,0,0.0,38
2oiu_P,0,0,0,0,0.0,71
2qwy_A,0,0,0,0,0.0,52
2zy6_A,0,0,0,0,0.0,39
3iab_R,0,0,0,0,0.0,46
3nmu_D,0,0,0,0,0.0,34
3npn_A,0,0,0,0,0.0,54
4frn_A,0,0,0,0,0.0,102
5bjp_E,0,0,0,0,0.0,36
5de5_A,0,0,0,0,0.0,35
5ob3_A,0,0,0,0,0.0,69
5vof_A,0,0,0,0,0.0,36
5wti_B,0,0,0,0,0.0,123
5xuz_B,0,0,0,0,0.0,40
6d12_C,0,0,0,0,0.0,38
6e8u_B,0,0,0,0,0.0,37
6iv8_D,0,0,0,0,0.0,53
5wlh_B,0,0,0,0,0.0,54
6wpi_B,0,0,0,0,0.0,47
