RNA_id,F1_all_bps,PR_all_bps,SN_all_bps,Neff,Neff_by_L,Seq_Length
2du4_C,0.6296296296296297,0.7391304347826086,0.5483870967741935,35.184,0.49554929577464785,71
2pxb_B,0.6486486486486486,0.75,0.5714285714285714,21.8442,0.44580000000000003,49
4n0t_B,0.14634146341463414,0.14285714285714285,0.15,14.0348,0.19492777777777778,72
4uyk_R,0.3486238532110092,0.4318181818181818,0.2923076923076923,26.4649,0.19749925373134328,134
5f9r_A,0.08450704225352113,0.07692307692307693,0.09375,19.1887,0.16261610169491525,118
6svs_A,0.3333333333333333,0.4,0.2857142857142857,21.0203,0.27299090909090906,77
6fz0_A,0.2926829268292683,0.375,0.24,40.2151,0.7587754716981132,53
5t83_A,0.09523809523809523,0.14285714285714285,0.07142857142857142,26.8504,0.28263578947368423,95
6cu1_A,0.15873015873015875,0.18518518518518517,0.1388888888888889,13.8985,0.17158641975308642,81
4v2s_Q,0.3636363636363636,0.4,0.3333333333333333,16.7678,0.25796615384615385,65
6jdv_B,0.4,0.4318181818181818,0.37254901960784315,27.0656,0.18411972789115646,147
4rum_A,0.3636363636363636,0.4,0.3333333333333333,27.2952,0.2903744680851064,94
2il9_A,0.4578313253012048,0.475,0.4418604651162791,30,0.2112676056338028,142
3rw6_F,0.6808510638297872,0.8,0.5925925925925926,33.2833,0.5368274193548387,62
3q50_A,0.35714285714285715,0.45454545454545453,0.29411764705882354,18.3493,0.5560393939393939,33
3ktw_C,0.5128205128205128,0.625,0.43478260869565216,18.0452,0.18797083333333334,96
5x2h_B,0.53125,0.5483870967741935,0.5151515151515151,28.2477,0.30373870967741934,93
3adb_C,0.835820895522388,0.9333333333333333,0.7567567567567568,42.2228,0.45894347826086956,92
2zni_C,0.6666666666666667,0.7083333333333334,0.6296296296296297,49.8456,0.6922999999999999,72
4xwf_A,0.3111111111111111,0.3333333333333333,0.2916666666666667,40.1578,0.627465625,64
1mzp_B,0.5,0.6111111111111112,0.4230769230769231,27.4788,0.4996145454545454,55
1g1x_E,0.11764705882352941,0.07142857142857142,0.3333333333333333,11.5834,0.2632590909090909,44
3ovb_C,0.7200000000000001,0.8181818181818182,0.6428571428571429,26.5164,0.7576114285714286,35
1xjr_A,0.5882352941176471,0.6666666666666666,0.5263157894736842,17.2982,0.3680468085106383,47
2qus_A,0.5283018867924527,0.6086956521739131,0.4666666666666667,46.3318,0.6714753623188406,69
3q3z_A,0.5084745762711865,0.6,0.4411764705882353,20.7429,0.276572,75
3slm_A,0.47058823529411764,0.5454545454545454,0.41379310344827586,23.743000000000002,0.3491617647058824,68
4jf2_A,0.45614035087719296,0.52,0.40625,13.3943,0.17395194805194805,77
6mwn_A,0.417910447761194,0.4666666666666667,0.3783783783783784,18.0205,0.195875,92
4qyz_L,0,0,0,10.9272,0.17913442622950818,61
6aay_B,0,0,0,42.8954,0.7270406779661017,59
