RNA_id,F1_all_bps,PR_all_bps,SN_all_bps,Neff,Neff_by_L,Seq_Length
2du4_C,0.7037037037037037,0.8260869565217391,0.6129032258064516,65.875,0.9278169014084507,71
2pxb_B,0.8108108108108109,0.9375,0.7142857142857143,123.193,2.5141428571428572,49
4n0t_B,0.14285714285714282,0.13636363636363635,0.15,13.7116,0.1904388888888889,72
4uyk_R,0.4036697247706422,0.5,0.3384615384615385,44.4284,0.33155522388059705,134
5f9r_A,0.39436619718309857,0.358974358974359,0.4375,24.6484,0.20888474576271185,118
6svs_A,0.39999999999999997,0.48,0.34285714285714286,35.277,0.45814285714285713,77
6fz0_A,0.39024390243902435,0.5,0.32,30.3736,0.5730867924528302,53
5t83_A,0.15384615384615383,0.21739130434782608,0.11904761904761904,31.6358,0.33300842105263156,95
6cu1_A,0.1904761904761905,0.2222222222222222,0.16666666666666666,21.8985,0.27035185185185184,81
4v2s_Q,0.3888888888888889,0.3888888888888889,0.3888888888888889,21.793000000000003,0.33527692307692314,65
6jdv_B,0.425531914893617,0.46511627906976744,0.39215686274509803,37.5058,0.25514149659863944,147
4rum_A,0.4126984126984127,0.48148148148148145,0.3611111111111111,46.8488,0.4983914893617021,94
2il9_A,0.4470588235294118,0.4523809523809524,0.4418604651162791,43.6929,0.3076964788732394,142
3rw6_F,0.6808510638297872,0.8,0.5925925925925926,34.5309,0.5569500000000001,62
3q50_A,0.42857142857142855,0.5454545454545454,0.35294117647058826,18.1795,0.5508939393939394,33
3ktw_C,0.4871794871794871,0.59375,0.41304347826086957,19.0798,0.19874791666666666,96
5x2h_B,0.5,0.5161290322580645,0.48484848484848486,31.9149,0.34317096774193545,93
3adb_C,0.8656716417910447,0.9666666666666667,0.7837837837837838,73.5556,0.7995173913043478,92
2zni_C,0.7058823529411765,0.75,0.6666666666666666,96.0964,1.3346722222222223,72
4xwf_A,0.26666666666666666,0.2857142857142857,0.25,45.4244,0.70975625,64
1mzp_B,0.5454545454545455,0.6666666666666666,0.46153846153846156,13.8648,0.2520872727272727,55
1g1x_E,0.11764705882352941,0.07142857142857142,0.3333333333333333,10.3481,0.23518409090909093,44
3ovb_C,0.8,0.9090909090909091,0.7142857142857143,27.6409,0.78974,35
1xjr_A,0.5882352941176471,0.6666666666666666,0.5263157894736842,16.7322,0.3560042553191489,47
2qus_A,0.5660377358490566,0.6521739130434783,0.5,153.602,2.2261159420289856,69
3q3z_A,0.6440677966101696,0.76,0.5588235294117647,38.2857,0.5104759999999999,75
3slm_A,0.6274509803921569,0.7272727272727273,0.5517241379310345,29.6343,0.4357985294117647,68
4jf2_A,0.4912280701754386,0.56,0.4375,11.7484,0.15257662337662337,77
6mwn_A,0.5074626865671642,0.5666666666666667,0.4594594594594595,23.1174,0.25127608695652176,92
4qyz_L,0.08695652173913045,0.05,0.3333333333333333,10.0285,0.16440163934426227,61
6aay_B,0,0,0,45.5385,0.7718389830508474,59
